"","ctrl_1","ctrl_2","ctrl_3","ctrl_4","ctrl_5","tx_1","tx_2","tx_3","tx_4","tx_5"
"Ccdc183",0,0,0,0,0,0,0,0,0,0
"Lcn10",0,0,0,0,0,0,0,0,0,0
"Lcn8",0,0,0,0,0,0,0,0,0,0
"Fcna",1,0,142,26,0,98,17,208,7,19
"Phpt1",336,221,622,68,253,652,535,966,825,735
"Rabl6",1073,1362,1294,1313,1281,671,1158,926,881,810
"Gm996",4,0,0,0,0,0,6,0,59,0
"Obp2b",0,0,0,0,0,0,0,0,0,0
"Bmyc",244,447,805,96,212,563,575,813,368,431
"Glt6d1",0,0,0,0,0,0,0,0,0,0
"Lcn11",0,0,0,0,0,0,0,0,0,0
"Obp2a",0,0,0,0,0,0,0,0,0,0
"Lcn3",0,0,0,0,0,0,0,0,0,0
"Gm13539",0,0,0,0,0,0,0,0,0,0
"Lcn9",0,0,0,0,0,0,0,0,0,0
"Kcnt1",0,0,0,0,0,0,0,0,0,0
"Sohlh1",0,0,0,0,0,0,0,0,0,0
"Ubac1",260,114,700,206,237,374,360,448,262,478
"C330006A16Rik",239,274,542,542,158,414,491,500,469,460
"Lhx3",0,0,0,1,0,0,0,0,0,0
"Ccdc187",0,0,0,0,0,0,0,0,0,0
"Dnlz",126,203,365,70,102,224,350,448,239,484
"Card9",21,25,0,0,41,0,2,8,23,0
"Snapc4",138,139,401,53,257,106,134,316,101,230
"Sdccag3",352,247,310,190,178,274,258,239,155,228
"Inpp5e",66,32,104,33,14,136,156,118,43,144
"Sec16a",328,277,349,193,166,284,308,293,74,247
"Mir6996",0,0,0,0,0,0,0,0,0,0
"Pmpca",180,483,159,94,49,288,251,328,132,141
"Mir126b",0,0,0,0,0,0,0,0,0,0
"Egfl7",41,238,168,138,282,74,63,45,22,47
"Mir126a",0,0,0,0,0,0,0,0,0,0
"Agpat2",54,48,100,7,82,112,82,23,110,126
"Gm35978",0,0,0,0,0,0,0,0,0,0
"Lcn4",0,5,1,15,0,36,22,1,24,0
"Snora43",0,0,0,0,0,0,0,0,0,0
"Snora17",0,0,0,0,0,0,8,0,0,27
"Fam69b",0,65,0,0,0,38,28,0,0,14
"Snhg7",55,95,54,7,45,49,64,69,21,75
"Abo",0,0,0,0,0,0,0,0,0,0
"Rexo4",704,415,529,476,468,732,465,402,408,842
"Med22",68,152,202,54,33,309,163,372,45,350
"Surf2",196,178,146,16,28,191,220,302,297,172
"Surf1",202,116,763,24,193,381,529,741,368,580
"Surf4",1264,1246,2388,616,706,1783,1671,2859,1323,3419
"Rpl7a",3940,6015,6551,376,2559,5603,5657,10956,4428,8351
"Surf6",293,349,324,431,252,377,677,433,205,367
"Stkld1",0,20,0,1,25,0,0,46,0,39
"Tmem8c",0,0,0,0,0,0,1,0,0,0
